학교구분,학교명,학교위치_경도,학교위치_위도
초등학교,원동초등학교,127.06969860000001,37.1351683
초등학교,운산초등학교,127.0774136,37.15249986
초등학교,화성초등학교,127.06885759999999,37.16461498
중학교,대호중학교,127.0569778,37.1618638
중학교,매홀중학교,127.0685001,37.16777784
중학교,성호중학교,127.08100259999999,37.13975674
중학교,오산원일중학교,127.0725611,37.13944663
중학교,운천중학교,127.07802679999999,37.15788772
고등학교,매홀고등학교,127.06895149999998,37.16900301
고등학교,세교고등학교,127.05344199999999,37.17772373
고등학교,오산정보고등학교,127.0610334,37.15064386
고등학교,운천고등학교,127.0804449,37.15572366
초등학교,가수초등학교,127.04774909999999,37.14791946
초등학교,다온초등학교,127.090752,37.151697799999994
초등학교,매홀초등학교,127.0635868,37.16236518
초등학교,문시초등학교,127.0458616,37.17414057
초등학교,성산초등학교,127.06642450000001,37.14969499
초등학교,세미초등학교,127.0646658,37.1739971
초등학교,양산초등학교,127.0321106,37.19688704
초등학교,오산고현초등학교,127.08553140000001,37.13336523
초등학교,오산원당초등학교,127.0908645,37.14194839
초등학교,오산초등학교,127.0499533,37.14475593
초등학교,운암초등학교,127.0761442,37.14364336
초등학교,운천초등학교,127.07917320000001,37.15611193
초등학교,광성초등학교,127.04003359999999,37.18380171
중학교,세마중학교,127.0421942,37.18069242
고등학교,세마고등학교,127.040944,37.18025132
중학교,문시중학교,127.047472,37.17444633
중학교,운암중학교,127.07717040000001,37.14556195
중학교,오산중학교,127.0613054,37.15300447
고등학교,성호고등학교,127.08236370000002,37.13900796
고등학교,운암고등학교,127.0749736,37.14359001
고등학교,오산고등학교,127.0613054,37.15300447
초등학교,금암초등학교,127.04400600000001,37.17838514
초등학교,대호초등학교,127.0576963,37.15899814
초등학교,매홀초등학교삼미분교장,127.06345400000001,37.162672
초등학교,성호초등학교,127.07097240000002,37.15003486
초등학교,수청초등학교,127.05566670000002,37.17066759
초등학교,오산대원초등학교,127.07105619999999,37.13044603
초등학교,오산원일초등학교,127.07119920000001,37.13936633
초등학교,필봉초등학교,127.05255290000001,37.178499
