,lat,lon,geometry
0,37.15089232,127.0907478,"(37.15089232, 127.0907478)"
1,37.15089232,127.0907478,"(37.15089232, 127.0907478)"
2,37.14833581,127.083997,"(37.14833581, 127.083997)"
3,37.15993649,127.057906,"(37.15993649, 127.057906)"
4,37.14948855,127.065567,"(37.14948855, 127.065567)"
5,37.14909591,127.0700015,"(37.14909591, 127.0700015)"
6,37.13178054,127.072728,"(37.13178054, 127.072728)"
7,37.13944514,127.0712368,"(37.13944514, 127.0712368)"
8,37.15623915,127.0780479,"(37.15623915, 127.0780479)"
9,37.152348,127.0762093,"(37.152348, 127.0762093)"
10,37.154907,127.081104,"(37.154907, 127.081104)"
11,37.148878,127.068554,"(37.148878, 127.068554)"
12,37.131664,127.078272,"(37.131664, 127.078272)"
13,37.14191,127.054744,"(37.14191, 127.054744)"
14,37.189685,127.052957,"(37.189685, 127.052957)"
15,37.189385,127.063139,"(37.189385, 127.063139)"
16,37.178159,127.057328,"(37.178159, 127.057328)"
17,37.148735,127.073578,"(37.148735, 127.073578)"
18,37.153591,127.055023,"(37.153591, 127.055023)"
19,37.183843,127.039204,"(37.183843, 127.039204)"
20,37.156524,127.044245,"(37.156524, 127.044245)"
21,37.1343,127.053878,"(37.1343, 127.053878)"
22,37.156075,127.072718,"(37.156075, 127.072718)"
23,37.175201,127.0608,"(37.175201, 127.0608)"
24,37.177402,127.046759,"(37.177402, 127.046759)"
25,37.129471,127.071208,"(37.129471, 127.071208)"
26,37.146349,127.078169,"(37.146349, 127.078169)"
