lat,lon,geometry
37.15089232,127.09074779999999,"(37.15089232, 127.09074779999999)"
37.15089232,127.09074779999999,"(37.15089232, 127.09074779999999)"
37.14833581,127.083997,"(37.14833581, 127.083997)"
37.15993649,127.057906,"(37.15993649, 127.057906)"
37.14948855,127.06556699999999,"(37.14948855, 127.06556699999999)"
37.14909591,127.07000149999999,"(37.14909591, 127.07000149999999)"
37.13178054,127.072728,"(37.13178054, 127.072728)"
37.13944514,127.07123680000001,"(37.13944514, 127.07123680000001)"
37.15623915,127.0780479,"(37.15623915, 127.0780479)"
37.152347999999996,127.07620929999999,"(37.152347999999996, 127.07620929999999)"
37.154907,127.08110400000001,"(37.154907, 127.08110400000001)"
37.148878,127.068554,"(37.148878, 127.068554)"
37.131664,127.078272,"(37.131664, 127.078272)"
37.141909999999996,127.054744,"(37.141909999999996, 127.054744)"
37.189685,127.052957,"(37.189685, 127.052957)"
37.189384999999994,127.06313899999999,"(37.189384999999994, 127.06313899999999)"
37.178159,127.057328,"(37.178159, 127.057328)"
37.148734999999995,127.073578,"(37.148734999999995, 127.073578)"
37.153591,127.05502299999999,"(37.153591, 127.05502299999999)"
37.183842999999996,127.039204,"(37.183842999999996, 127.039204)"
37.156524,127.04424499999999,"(37.156524, 127.04424499999999)"
37.1343,127.053878,"(37.1343, 127.053878)"
37.156075,127.072718,"(37.156075, 127.072718)"
37.175201,127.0608,"(37.175201, 127.0608)"
37.177402,127.04675900000001,"(37.177402, 127.04675900000001)"
37.129471,127.07120800000001,"(37.129471, 127.07120800000001)"
37.146349,127.07816899999999,"(37.146349, 127.07816899999999)"
